Tipo;Lugar;Tipo;Descripción;Fecha;Enlace ley;Gobierno
Comunidad autónoma;Andalucía;Proposición de Ley;PSOE registra proposición de Ley que pide una moratoria para utilizar el fracking. IU registra proposición de ley para prohibir el fracking. Ambas en trámite;02/06/2014-14/06/2014;https://www.documentcloud.org/documents/1237133-proposicion-de-ley-psoe-fracking-andalucia.html http://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=bopa&id=93673;PSOE-IU
Provincia;Burgos;Cuestionario;Cuestionario a 368 municipios sobre los permisos de fracking. De 236 ayuntamientos que contestaron, sólo dos estuvieron a favor de aplicar la técnica en su suelo.;01/03/13;http://www.burgos.es/sites/all/files/documentos_junta/Documento_junta_2013-03-01.pdf;Partido Popular
Comunidad autónoma;Cantabria;Ley autonómica;Se prohíbe con carácter general el fracking en su territorio. Anulada por el Tribunal Constitucional.;15/04/13;https://www.boe.es/diario_boe/txt.php?id=BOE-A-2013-4828;Partido Popular
Provincia;Castellón;Moción;Moción para instar al Ejecutivo autonómicoMoción para instar al Ejecutivo autonómico para que no permita el fracking basado en un informe técnico que alertaba de los peligros de usar este método en la provincia.para que no permita el fracking basado en un informe técnico que alertaba de los peligros de usar este método en la provincia. Aprobación por unanimidad.;31/07/13;http://www.dipcas.es/wp-content/uploads/2013/07/Informe%20hidrocarburos.pdf;Partido Popular
Comunidad autónoma;Castilla y León;Moción;Rechazo en las Cortes de una moción para declarar la región “libre de fracking”.;07/04/14;;Partido Popular
Comunidad autónoma;Castilla-La Mancha;Moción;Moción del PSOE para declarar la autonomía libre de fracking. Rechazada;07/04/14;;Partido Popular
Comunidad autónoma;Cataluña;Ley autonómica;Modifica la Ley de Urbanismo para no permitir la técnica de fracturación hidráulica en terrenos no urbanizables “cuando tenga efectos negativos”. En vigor.;27/01/14;http://www15.gencat.net/ecofin_wpres14/pdf/MFF_CAS.pdf;CiU
Comunidad autónoma;Comunidad Valenciana;Proposición no de ley;Las Corts rechazan una Proposición No de Ley para declarar la comunidad “libre de fracking”.;22/05/13;;Partido Popular
Comunidad autónoma;Galicia;Moratoria;El Parlamento aprueba una moratoria “hasta demostrar que no tiene consecuencias negativas”. Activa.;22/02/13;;Partido Popular
Comunidad autónoma;La Rioja;Ley autonómica;Se prohibía el fracking tanto para la investigación como la extracción de gas no convencional. La sentencia del Constitucional la deja sin efecto.;21/06/13;http://www.boe.es/boe/dias/2013/07/09/pdfs/BOE-A-2013-7480.pdf;Partido Popular
Comunidad autónoma;Navarra;Ley autonómica;aprobada por el Parlamento regional, pendiente de que se le aplique el criterio del TC.;10/10/13;http://www.parlamentodenavarra.es/UserFiles/File/BOP/B2013037.pdf;UPN
Comunidad autónoma;País Vasco;Ley autonómica;Modificó la Ley de Conservacion de la Naturaleza para no permitir “actividades extractivas incompatibles con los valores naturales” pero limitada a los espacios protegidos. En vigor.;10/10/13;http://www.boe.es/boe/dias/2013/11/12/pdfs/BOE-A-2013-11798.pdf;PNV
Provincia;Valencia;Moción;Moción que pide al Ejecutivo autonómico para que declare la Comunidad “libre de fractura hidráulica”. Aprobación por unanimidad.;;http://www.dival.es/secretaria/sites/default/files/secretaria/SGN_PLE2013-10_0.pdf;Partido Popular
Provincia;Valladolid;Moción;Moción para pedir que haya una moratoria en el uso del fracking “hasta obtención de resultados sobre su incidencia en el medio ambiente y la salud pública”.;08/11/12;https://bop.sede.diputaciondevalladolid.es/boletines/2012/noviembre/08/BOPVA-A-2012-06413.pdf;Partido Popular
